,,,,,,,,,,,,VIP scores from the PLS-DA analysis,,,,
Protein,Accession Number,Protein Name,Peptides per protein,Mean COVID+,Mean COVID-,Median COVID+,Median COVID-,%CV COVID+,%CV COVID-,Mann-Whitney U Test p value,Fold Change,Comp. 1,Comp. 2,Comp. 3,Comp. 4,Comp. 5
sp|P00450|CERU_HUMAN,P00450,Ceruloplasmin,12,0.000453497,0.000497118,0.000392143,0.000571386,63.14158112,42.84650855,0.6901,0.69,0.27849,0.28733,0.32101,0.3226,0.3229
sp|P14780|MMP9_HUMAN,P14780,Matrix metalloproteinase-9,14,0.0011816,0.001354268,0.000883324,0.001150631,73.51251035,57.89613052,0.6901,0.77,0.32135,0.34631,0.34651,0.36174,0.36234
sp|P07996|TSP1_HUMAN,P07996,Thrombospondin-1,4,3.4502E-05,2.77808E-05,3.60164E-05,2.74318E-05,51.50376794,9.059897658,0.6901,1.31,0.82671,0.8021,0.79973,0.80032,0.80019
sp|P98088|MUC5A_HUMAN,P98088,Mucin-5AC,5,0.000114518,7.25951E-05,8.59137E-05,6.82915E-05,80.74504943,21.87870737,0.8411,1.26,0.97374,0.9764,0.99259,0.99203,0.99174
sp|P05164|PERM_HUMAN,P05164,Myeloperoxidase,15,0.001442337,0.004668297,0.000910612,0.004039108,131.1531175,65.80649817,0.0951,0.23,1.6493,1.5795,1.5708,1.5699,1.5697
sp|P01009|A1AT_HUMAN,P01009,Alpha-1-antitrypsin,14,0.002228307,0.002514077,0.002613983,0.002176296,43.95227334,62.85567133,0.8411,1.20,0.35084,0.48176,0.49447,0.49422,0.49408
sp|P60709|ACTB_HUMAN,P60709,"Actin, cytoplasmic 1",12,0.009684632,0.006706117,0.008533951,0.006810228,38.87422022,56.23467077,0.3101,1.25,1.1725,1.1176,1.131,1.1293,1.1289
sp|P23280|CAH6_HUMAN,P23280,Carbonic anhydrase 6,12,0.007245661,0.004028477,0.001719193,0.003557215,119.4881472,27.85877544,0.6901,0.48,0.80904,0.86444,0.8597,0.85938,0.8592
sp|P00738|HPT_HUMAN,P00738,Haptoglobin,13,0.001867427,0.003056488,0.000943382,0.002912173,88.78357454,86.29919604,0.6901,0.32,0.83979,0.82427,0.82624,0.82525,0.82543
sp|P22079|PERL_HUMAN,P22079,Lactoperoxidase,12,0.00355888,0.002727603,0.002977726,0.002773931,73.80424435,26.93572482,0.8411,1.07,0.66235,0.71402,0.7155,0.71445,0.71445
sp|P0DOX5|IGG1_HUMAN,P0DOX5,Immunoglobulin gamma-1 heavy chain,10,0.004040728,0.004231833,0.002608214,0.002777326,94.10737062,76.8497577,1.0001,0.94,0.062482,0.2881,0.34264,0.3426,0.34344
sp|P08603|CFAH_HUMAN,P08603,Complement factor H,6,7.2108E-05,9.338E-05,8.64639E-05,8.56855E-05,38.89628238,57.99823251,0.8411,1.01,0.7708,0.90646,0.90182,0.90045,0.9002
sp|P09960|LKHA4_HUMAN,P09960,Leukotriene A-4 hydrolase,13,0.000833412,0.000544157,0.00051513,0.000527539,72.81513386,15.33015297,1.0001,0.98,0.99985,0.97771,0.97536,0.97685,0.97656
sp|P25311|ZA2G_HUMAN,P25311,Zinc-alpha-2-glycoprotein,12,0.003272472,0.002684607,0.002916309,0.002689558,35.36754624,25.04701792,0.4211,1.08,0.91519,0.93434,0.92928,0.92966,0.92995
sp|P11021|BIP_HUMAN,P11021,Endoplasmic reticulum chaperone BiP,13,0.000679002,0.000513905,0.000693165,0.000433524,29.6156439,32.7035477,0.4211,1.60,1.2802,1.3116,1.3056,1.3036,1.3033
sp|P04040|CATA_HUMAN,P04040,Catalase,13,0.001020923,0.000857963,0.000660025,0.000816352,113.6226524,47.92764642,0.6901,0.81,0.27035,0.26178,0.29155,0.30492,0.30494
sp|P29401|TKT_HUMAN,P29401,Transketolase,13,0.002191886,0.001676428,0.001094538,0.001381723,113.3654775,49.13664444,0.6901,0.79,0.45073,0.46784,0.47796,0.48504,0.48497
sp|P26038|MOES_HUMAN,P26038,Moesin,14,0.000781335,0.000502625,0.000664312,0.000414393,82.06159462,63.78946675,0.5481,1.60,0.80622,0.77502,0.78973,0.79012,0.78988
sp|P21333|FLNA_HUMAN,P21333,Filamin-A,9,0.000197018,0.000150371,0.000182018,0.000145054,58.97802216,16.9053681,0.8411,1.25,0.81664,0.8456,0.87706,0.87606,0.8758
sp|P12429|ANXA3_HUMAN,P12429,Annexin A3,11,0.001263768,0.001535006,0.001270372,0.001389939,75.53501539,52.35698525,0.5481,0.91,0.45116,0.46991,0.47214,0.47724,0.47831
sp|P29508|SPB3_HUMAN,P29508,Serpin B3,9,0.000742698,0.000453363,0.000687819,0.000481944,58.46058554,41.93630257,0.3101,1.43,1.2609,1.2567,1.2536,1.2517,1.2515
sp|P14618|KPYM_HUMAN,P14618,Pyruvate kinase PKM,9,0.000470521,0.000246284,0.00042504,0.000164423,43.23084132,69.6394705,0.0951,2.59,1.593,1.5281,1.5383,1.5361,1.5359
sp|O43451|MGA_HUMAN,O43451,"Maltase-glucoamylase, intestinal",7,0.000176678,0.000138236,0.000119553,8.50017E-05,57.86735701,75.20809129,0.3101,1.41,0.59487,0.62997,0.62649,0.6312,0.63108
sp|P05107|ITB2_HUMAN,P05107,Integrin beta-2,13,0.000619653,0.000623324,0.000466706,0.000477767,80.2401292,56.03147001,0.6901,0.98,0.029103,0.23902,0.25283,0.26638,0.26685
sp|P02675|FIBB_HUMAN,P02675,Fibrinogen beta chain,15,0.001146846,0.002067883,0.001344367,0.001701099,62.46678386,72.62826002,0.3101,0.79,1.1614,1.1374,1.1424,1.1408,1.1407
sp|P07237|PDIA1_HUMAN,P07237,Protein disulfide-isomerase,9,0.000387736,0.000413942,0.000366429,0.000366294,29.31466353,33.44816634,1.0001,1.00,0.34957,0.48241,0.48069,0.4804,0.48256
sp|P06733|ENOA_HUMAN,P06733,Alpha-enolase,14,0.004471138,0.004270161,0.004188987,0.002467242,33.50916401,60.16224272,0.6901,1.70,0.13666,0.48527,0.48755,0.4871,0.48858
sp|P06396|GELS_HUMAN,P06396,Gelsolin,14,0.001137721,0.001182814,0.001111856,0.000995534,51.27335461,57.44569959,1.0001,1.12,0.12079,0.36808,0.36641,0.37202,0.37302
sp|Q08188|TGM3_HUMAN,Q08188,Protein-glutamine gamma-glutamyltransferase E,12,0.001028367,0.001206547,0.000737703,0.001111186,56.31518638,44.83856937,0.6901,0.66,0.49414,0.74831,0.74676,0.74571,0.74549
sp|P02751|FINC_HUMAN,P02751,Fibronectin,6,6.52926E-05,0.00011149,5.22067E-05,0.000115093,51.25881387,59.58445667,0.3101,0.45,1.2707,1.3438,1.3378,1.3372,1.3368
sp|Q96DR5|BPIA2_HUMAN,Q96DR5,BPI fold-containing family A member 2,15,0.008772005,0.004859116,0.004114873,0.003730331,111.4584643,89.22092123,0.5481,1.10,0.81532,0.90572,0.90116,0.90003,0.90003
sp|P50395|GDIB_HUMAN,P50395,Rab GDP dissociation inhibitor beta,9,0.000474727,0.000336313,0.000442337,0.000287519,35.27247372,36.66737807,0.0951,1.54,1.3366,1.3192,1.3128,1.311,1.3106
sp|P0DOX7|IGK_HUMAN,P0DOX7,Immunoglobulin kappa light chain,1,0.000807971,0.000648054,0.000860496,0.000884785,26.61578047,57.20583399,1.0001,0.97,0.8189,0.8761,0.87474,0.87443,0.87431
sp|P02679|FIBG_HUMAN,P02679,Fibrinogen gamma chain,13,0.000721556,0.001441671,0.000853247,0.00116681,60.02671979,74.92547043,0.3101,0.73,1.2656,1.2383,1.2402,1.2386,1.2383
sp|P27487|DPP4_HUMAN,P27487,Dipeptidyl peptidase 4,10,0.000258644,0.000245367,0.000214465,0.000242127,58.84673417,31.13788512,0.6901,0.89,0.18765,0.54787,0.56291,0.56247,0.56298
sp|P02790|HEMO_HUMAN,P02790,Hemopexin,10,0.001590883,0.002156558,0.001499075,0.001210445,49.83143024,82.19700133,0.8411,1.24,0.64689,0.70996,0.71958,0.71922,0.72029
sp|P07384|CAN1_HUMAN,P07384,Calpain-1 catalytic subunit,13,0.000515619,0.00045858,0.000355927,0.000482473,53.6668019,29.70545459,1.0001,0.74,0.4371,0.6885,0.68476,0.68411,0.68469
sp|P11142|HSP7C_HUMAN,P11142,Heat shock cognate 71 kDa protein,13,0.001258865,0.001164207,0.001144593,0.001213257,19.38919577,27.11748497,0.8411,0.94,0.31925,0.6081,0.61045,0.61257,0.61275
sp|P06744|G6PI_HUMAN,P06744,Glucose-6-phosphate isomerase,13,0.001722049,0.001612456,0.001347136,0.001754033,73.0575286,25.92840402,0.4211,0.77,0.16165,0.27037,0.32257,0.32407,0.32422
sp|Q96DA0|ZG16B_HUMAN,Q96DA0,Zymogen granule protein 16 homolog B,14,0.04322986,0.028779763,0.025624518,0.020479938,64.71452175,73.23015324,0.2221,1.25,0.88708,0.92808,0.9238,0.9224,0.92215
sp|P22735|TGM1_HUMAN,P22735,Protein-glutamine gamma-glutamyltransferase K,11,0.000367122,0.000396246,0.000385298,0.000209875,22.49773977,99.64253531,0.2221,1.84,0.17884,0.40129,0.39979,0.40387,0.40641
sp|P12814|ACTN1_HUMAN,P12814,Alpha-actinin-1,7,0.000296116,0.000205962,0.000177746,0.000208236,86.97310034,33.61264815,1.0001,0.85,0.73715,0.70579,0.70333,0.70262,0.7027
sp|P04083|ANXA1_HUMAN,P04083,Annexin A1,13,0.000879793,0.001622064,0.000820942,0.000750913,28.06914381,121.3418661,0.8411,1.09,0.80639,0.7912,0.78691,0.78617,0.78601
sp|P0DOX2|IGA2_HUMAN,P0DOX2,Immunoglobulin alpha-2 heavy chain,3,0.001627734,0.000411231,0.001458341,0.000299873,89.17977126,116.427001,0.0321,4.86,1.5511,1.485,1.4768,1.4746,1.4748
sp|P30740|ILEU_HUMAN,P30740,Leukocyte elastase inhibitor,15,0.002851103,0.00268363,0.002223323,0.003113948,55.78482894,37.33796919,1.0001,0.71,0.1941,0.50382,0.50629,0.50809,0.508
sp|P00338|LDHA_HUMAN,P00338,L-lactate dehydrogenase A chain,10,0.001683612,0.000949816,0.001576575,0.000795043,30.86847756,43.65009424,0.0561,1.98,1.9032,1.8166,1.8075,1.8051,1.8047
sp|P07355|ANXA2_HUMAN,P07355,Annexin A2,12,0.000619441,0.000614139,0.000517024,0.000334289,34.68618394,114.3291878,0.1511,1.55,0.012102,0.14565,0.14487,0.14489,0.14574
sp|P08133|ANXA6_HUMAN,P08133,Annexin A6,12,0.000254001,0.00027337,0.000203727,0.000233909,67.94609364,56.74487245,0.5481,0.87,0.19429,0.29333,0.30826,0.31939,0.3197
sp|P18206|VINC_HUMAN,P18206,Vinculin,6,0.00015121,8.27489E-05,0.000132966,6.63695E-05,42.98999819,52.11893473,0.0951,2.00,1.5971,1.5446,1.5378,1.5356,1.5353
sp|P52209|6PGD_HUMAN,P52209,"6-phosphogluconate dehydrogenase, decarboxylating",13,0.001274759,0.000716363,0.001261934,0.000754374,56.72605215,25.95696806,0.1511,1.67,1.4771,1.4105,1.4028,1.4036,1.4032
sp|P04075|ALDOA_HUMAN,P04075,Fructose-bisphosphate aldolase A,12,0.001501783,0.001083773,0.001378431,0.001041785,37.11228564,29.31586819,0.1511,1.32,1.3671,1.3067,1.306,1.3053,1.3049
sp|P04406|G3P_HUMAN,P04406,Glyceraldehyde-3-phosphate dehydrogenase,13,0.004997884,0.002190033,0.003599024,0.001748971,94.68654915,75.20547012,0.2221,2.06,1.1637,1.1172,1.1171,1.1175,1.1174
sp|P23141|EST1_HUMAN,P23141,Liver carboxylesterase 1,5,0.000100097,0.000116241,0.000101181,0.000127996,22.31578999,57.11178366,0.6901,0.79,0.53384,0.53562,0.55054,0.55702,0.55829
sp|P01871|IGHM_HUMAN,P01871,Immunoglobulin heavy constant mu,4,0.000842546,0.000321412,0.000591967,0.000208001,107.3662719,84.73316883,0.4211,2.85,1.1433,1.1612,1.1608,1.1598,1.1595
sp|P11413|G6PD_HUMAN,P11413,Glucose-6-phosphate 1-dehydrogenase,10,0.000407925,0.000366717,0.000301687,0.000338335,72.80168429,45.14674165,0.8411,0.89,0.26668,0.25586,0.31178,0.31271,0.31518
sp|Q01518|CAP1_HUMAN,Q01518,Adenylyl cyclase-associated protein 1,12,0.001022163,0.000645723,0.000747987,0.000603091,86.99030455,33.11568294,0.6901,1.24,0.89796,0.8599,0.8696,0.87072,0.87046
sp|P61626|LYSC_HUMAN,P61626,Lysozyme C,5,0.000724304,0.000319401,0.000675693,0.000273337,57.17376187,75.46614477,0.1511,2.47,1.601,1.5353,1.5269,1.5271,1.5267
sp|P0DMV9|HS71B_HUMAN,P0DMV9,Heat shock 70 kDa protein 1B,13,0.001476663,0.001419496,0.00149142,0.001518627,7.040876653,27.02010085,0.6901,0.98,0.38597,0.5013,0.52024,0.52331,0.52392
sp|P01011|AACT_HUMAN,P01011,Alpha-1-antichymotrypsin,8,0.000711807,0.000701605,0.000677731,0.000626302,33.95586095,59.59681262,0.8411,1.08,1.06E-16,0.17371,0.17374,0.17954,0.17998
sp|Q96HE7|ERO1A_HUMAN,Q96HE7,ERO1-like protein alpha,11,0.000464623,0.0003232,0.000392775,0.000247234,32.97882215,50.11185263,0.2221,1.59,1.2824,1.2684,1.2622,1.2617,1.2614
sp|P00751|CFAB_HUMAN,P00751,Complement factor B,7,0.000311409,0.000303216,0.000342649,0.000219206,50.09778035,77.51589281,0.8411,1.56,0.051566,0.056061,0.19305,0.19804,0.19936
sp|Q14CN2|CLCA4_HUMAN,Q14CN2,Calcium-activated chloride channel regulator 4,12,0.000487278,0.000302328,0.000431352,0.000238057,43.16902937,78.00164211,0.1511,1.81,1.1975,1.1587,1.1524,1.153,1.1528
sp|P68871|HBB_HUMAN,P68871,Hemoglobin subunit beta,6,0.004083683,0.001190346,0.000499505,0.000335271,200.8352139,140.8528651,1.0001,1.49,0.76102,0.74566,0.74424,0.74351,0.74422
sp|P06576|ATPB_HUMAN,P06576,"ATP synthase subunit beta, mitochondrial",11,0.000805771,0.000421611,0.000685028,0.000345328,34.96043359,64.5291811,0.0561,1.98,1.7695,1.686,1.6777,1.6754,1.675
sp|Q08380|LG3BP_HUMAN,Q08380,Galectin-3-binding protein,12,0.003081263,0.000919134,0.003422971,0.000713502,55.31911965,47.12782584,0.0321,4.80,1.9929,1.9351,1.9244,1.922,1.9214
sp|Q02487|DSC2_HUMAN,Q02487,Desmocollin-2,11,0.000388851,0.000594233,0.000325711,0.000442935,49.84707766,84.85722297,0.5481,0.74,0.80763,0.89967,0.89574,0.89933,0.89913
sp|P02774|VTDB_HUMAN,P02774,Vitamin D-binding protein,13,0.000922253,0.001130166,0.000965057,0.001088705,38.1882874,55.86477538,0.8411,0.89,0.6808,0.71684,0.71805,0.71903,0.71882
sp|P00558|PGK1_HUMAN,P00558,Phosphoglycerate kinase 1,13,0.000584086,0.000336289,0.000462064,0.000377203,55.27681999,47.4222168,0.1511,1.22,1.3911,1.3286,1.3379,1.3361,1.3357
sp|O15144|ARPC2_HUMAN,O15144,Actin-related protein 2/3 complex subunit 2,8,0.000346871,0.000278421,0.000274796,0.000282627,89.67531572,26.61188212,0.8411,0.97,0.47487,0.46136,0.49532,0.49722,0.49712
sp|Q6P5S2|LEG1H_HUMAN,Q6P5S2,Protein LEG1 homolog,12,0.004168431,0.002356741,0.003145796,0.002201693,68.77546814,44.25777495,0.3101,1.43,1.2088,1.1665,1.1655,1.164,1.1642
sp|P36952|SPB5_HUMAN,P36952,Serpin B5,12,0.000756763,0.000402905,0.000840422,0.000300521,49.97656446,92.27332248,0.3101,2.80,1.2887,1.2741,1.2686,1.2669,1.2668
sp|P69905|HBA_HUMAN,P69905,Hemoglobin subunit alpha,10,0.002754807,0.001659309,0.000308118,0.000526641,196.7722698,156.4166688,0.6901,0.59,0.3851,0.41125,0.4216,0.42391,0.42634
sp|P80188|NGAL_HUMAN,P80188,Neutrophil gelatinase-associated lipocalin,10,0.004377872,0.003867175,0.003254937,0.004627699,67.86829407,44.07173734,1.0001,0.70,0.31641,0.36909,0.40383,0.40655,0.40648
sp|P60174|TPIS_HUMAN,P60174,Triosephosphate isomerase,12,0.001983605,0.002031832,0.001797805,0.002058804,38.28192411,33.92601906,1.0001,0.87,0.13424,0.49671,0.51018,0.50942,0.50931
sp|P61158|ARP3_HUMAN,P61158,Actin-related protein 3,6,0.000244204,0.000133838,0.0001865,0.000117225,63.92799997,47.99258573,0.0561,1.59,1.3138,1.2565,1.2563,1.2556,1.2553
sp|P12273|PIP_HUMAN,P12273,Prolactin-inducible protein,8,0.016431723,0.014169794,0.013893027,0.010579293,64.73342804,47.32305155,1.0001,1.31,0.38965,0.50565,0.51226,0.51356,0.51345
sp|P25705|ATPA_HUMAN,P25705,"ATP synthase subunit alpha, mitochondrial",7,0.000259554,9.62073E-05,0.000299327,0.000109342,51.09575735,31.13749981,0.0561,2.74,1.9797,1.8858,1.8787,1.8758,1.8753
sp|Q02413|DSG1_HUMAN,Q02413,Desmoglein-1,9,0.000528471,0.000475561,0.000507826,0.000454082,22.38239478,60.86331751,0.4211,1.12,0.40515,0.54853,0.54911,0.55457,0.55465
sp|Q9HDC9|APMAP_HUMAN,Q9HDC9,Adipocyte plasma membrane-associated protein,5,0.000198868,0.000216902,0.000142125,0.000165374,67.42624178,56.52877547,1.0001,0.86,0.24897,0.40245,0.40354,0.41402,0.41391
sp|P01008|ANT3_HUMAN,P01008,Antithrombin-III,11,0.000285671,0.000213224,0.000273682,0.000159474,22.08259136,45.71231306,0.3101,1.72,1.2395,1.1875,1.1969,1.1955,1.1954
sp|Q9UIV8|SPB13_HUMAN,Q9UIV8,Serpin B13,10,0.00053009,0.000317043,0.000506103,0.000215847,51.2161766,65.57351626,0.1511,2.34,1.2648,1.2271,1.2235,1.2228,1.2225
sp|P07858|CATB_HUMAN,P07858,Cathepsin B,5,0.000161367,0.000115754,0.00012698,0.000117725,35.10102693,29.31692062,0.3101,1.08,1.3437,1.3206,1.3164,1.3168,1.3166
sp|P00491|PNPH_HUMAN,P00491,Purine nucleoside phosphorylase,9,0.000276172,0.000269643,0.000261419,0.000263721,40.74638211,43.04192376,1.0001,0.99,0.084949,0.49515,0.49762,0.49687,0.49719
sp|P00505|AATM_HUMAN,P00505,"Aspartate aminotransferase, mitochondrial",10,0.000267967,0.000218797,0.00026745,0.00013732,41.89062888,81.75490844,0.3101,1.95,0.52892,0.65375,0.65029,0.65192,0.65186
sp|P0DOY2|IGLC2_HUMAN,P0DOY2,Immunoglobulin lambda constant 2,1,6.45271E-06,2.37273E-06,3.64185E-06,1.45358E-06,147.502072,82.47228882,1.0001,2.51,0.90377,0.86503,0.8611,0.8598,0.8596
sp|P31025|LCN1_HUMAN,P31025,Lipocalin-1,9,0.001592102,0.001126395,0.001437117,0.001448605,72.44652427,74.32508568,0.6901,0.99,0.70454,0.78033,0.77934,0.7834,0.78317
sp|Q8N4F0|BPIB2_HUMAN,Q8N4F0,BPI fold-containing family B member 2,9,0.003529252,0.002458997,0.003949499,0.002305155,52.92941416,45.64301064,0.5481,1.71,1.0439,1.1767,1.1705,1.169,1.1691
sp|P08670|VIME_HUMAN,P08670,Vimentin,7,0.000347369,0.000148815,0.000352551,0.000123315,55.25401195,35.84098347,0.0951,2.86,1.7829,1.7151,1.7096,1.7072,1.7068
sp|P02647|APOA1_HUMAN,P02647,Apolipoprotein A-I,7,0.000729481,0.00085037,0.000762837,0.000549615,61.0336508,104.7442617,1.0001,1.39,0.30472,0.39651,0.40482,0.4149,0.41561
sp|P28325|CYTD_HUMAN,P28325,Cystatin-D,10,0.001771719,0.00175705,0.001448144,0.001648948,83.26844509,20.40246586,0.8411,0.88,0.027926,0.39916,0.39696,0.39663,0.39783
sp|P04839|CY24B_HUMAN,P04839,Cytochrome b-245 heavy chain,7,0.000229561,0.000240192,0.000213948,0.000165955,46.52116951,61.52511181,1.0001,1.29,0.12812,0.29448,0.29384,0.30517,0.30684
sp|Q9Y6N5|SQOR_HUMAN,Q9Y6N5,"Sulfide:quinone oxidoreductase, mitochondrial",10,0.000253297,0.00019689,0.000265859,0.000147073,40.15209197,61.71617307,0.4211,1.81,0.79729,0.91468,0.90996,0.90862,0.90862
sp|P20061|TCO1_HUMAN,P20061,Transcobalamin-1,13,0.002555635,0.001345972,0.002605982,0.001255823,25.8772337,22.48505644,0.0161,2.08,2.2613,2.1597,2.1485,2.1458,2.1452
sp|P27824|CALX_HUMAN,P27824,Calnexin,5,6.47419E-05,8.56309E-05,4.47659E-05,7.6189E-05,81.43394985,43.31805026,0.2221,0.59,0.70342,0.69485,0.69799,0.70199,0.70197
sp|P30838|AL3A1_HUMAN,P30838,"Aldehyde dehydrogenase, dimeric NADP-preferring",7,0.000367782,0.000435166,0.000290397,0.000465908,58.84477259,63.03249569,1.0001,0.62,0.43468,0.58587,0.59298,0.5928,0.59353
sp|P55786|PSA_HUMAN,P55786,Puromycin-sensitive aminopeptidase,4,9.2267E-05,6.39036E-05,9.41075E-05,5.64438E-05,39.21392949,37.9790693,0.2221,1.67,1.3175,1.2659,1.2596,1.2579,1.2577
sp|P09211|GSTP1_HUMAN,P09211,Glutathione S-transferase P,9,0.00238401,0.001941438,0.002881882,0.001690288,37.36652559,41.9739392,0.8411,1.70,0.81422,0.86378,0.86018,0.85887,0.85864
sp|P62937|PPIA_HUMAN,P62937,Peptidyl-prolyl cis-trans isomerase A,12,0.000781805,0.000821045,0.000676239,0.000825108,58.97431914,37.09441894,0.6901,0.82,0.13729,0.19603,0.30156,0.30129,0.30254
sp|Q16610|ECM1_HUMAN,Q16610,Extracellular matrix protein 1,6,0.000167381,0.000114871,0.000153375,8.73823E-05,18.94501944,48.26324777,0.1511,1.76,1.5805,1.5054,1.4996,1.4976,1.4973
sp|O75882|ATRN_HUMAN,O75882,Attractin,3,4.77161E-05,5.01618E-05,3.48819E-05,3.83006E-05,86.21696962,88.72031702,0.6901,0.91,0.074861,0.38057,0.41575,0.443,0.44683
sp|P54108|CRIS3_HUMAN,P54108,Cysteine-rich secretory protein 3,12,0.003999451,0.003024398,0.003662218,0.002667089,29.91986101,39.92604996,0.2221,1.37,1.1671,1.1242,1.118,1.1164,1.1163
sp|P21796|VDAC1_HUMAN,P21796,Voltage-dependent anion-selective channel protein 1,9,0.000362415,0.000289669,0.000308228,0.000243452,31.53810127,35.03948977,0.3101,1.27,1.0163,1.0888,1.0845,1.0834,1.0832
sp|P13639|EF2_HUMAN,P13639,Elongation factor 2,6,6.94956E-05,8.67115E-05,5.98417E-05,6.84097E-05,27.78078535,66.38075513,0.6901,0.87,0.6349,0.76687,0.76422,0.76471,0.76528
sp|P02545|LMNA_HUMAN,P02545,Prelamin-A/C,3,3.18119E-05,5.82414E-05,1.38747E-05,4.32311E-05,115.4755488,58.70918924,0.1511,0.32,1.0892,1.0485,1.0472,1.0469,1.0471
